seq_id,true_efficiency,binary_label,pred_efficiency,pred_probability,fold
1521,1.0056047,0,0.99984324,0.5342880896827312,1
1526,1.0023241,0,1.0003824,0.4129857591117547,1
1531,1.0000447,0,1.0005656,0.37176495829645717,1
1534,1.0028999,0,0.99962795,0.5827232011156703,1
1542,1.0040462,0,0.99983895,0.5352535736315607,1
1547,1.0021495,0,0.9997672,0.5513986107758737,1
1554,1.0048195,0,0.9998081,0.5421996942634162,1
1556,0.99765587,0,0.99988407,0.5251025826695631,1
1557,1.0076118,0,1.0003179,0.4274948373427736,1
1558,0.9955112,0,1.0007026,0.3409499289296538,1
1559,1.0036603,0,0.9997987,0.5443049856518358,1
1562,1.0034411,0,1.0004297,0.4023386166760533,1
1565,1.0059175,0,0.99994683,0.5109823799179338,1
1566,1.0002134,0,0.999735,0.5586397403920937,1
1567,0.99482274,0,0.99942553,0.6282618607021213,1
1571,0.99820876,0,0.9999738,0.5049212862391719,1
1579,1.0184789,0,1.0012418,0.2196475983586773,1
1580,1.0024403,0,1.000148,0.4657119103172688,1
1585,1.0001953,0,0.9990728,0.7076192774961783,1
1588,1.0037514,0,0.99978405,0.5476037224770027,1
1593,0.9994364,0,1.0006692,0.3484592485316599,1
1604,1.0022194,0,0.9989841,0.7275726124386516,1
1609,1.0000402,0,0.9995177,0.6075307748008689,1
1614,1.004551,0,0.9994974,0.6120900045592297,1
1621,1.0015868,0,0.9995607,0.5978491163139968,1
1627,1.0023544,0,1.0000075,0.49733150964143,1
1628,1.0065964,0,0.99991167,0.5188939844986189,1
1629,0.99724716,0,0.9991976,0.6795397859843914,1
1640,0.99962926,0,1.0006312,0.35701450907823107,1
1644,0.9991323,0,0.99982995,0.5372784080242443,1
1654,1.0016433,0,0.99982226,0.5390082334325637,1
1655,1.005503,0,0.9997911,0.5460214015608658,1
1656,1.0048543,0,0.9997245,0.5609998122670099,1
1657,1.0031593,0,0.9999801,0.5034998793145065,1
1658,1.0074797,0,0.9998322,0.536768847051251,1
1661,0.9846464,0,0.9996675,0.5738192935875774,1
1665,0.9997953,0,0.99959284,0.590621396197066,1
1671,1.0095612,0,0.9997572,0.5536514066564755,1
1675,1.000544,0,0.999959,0.5082468420629174,1
1681,1.0070895,0,0.9999376,0.5130608523077749,1
1682,0.9997473,0,0.9993272,0.6503875345294607,1
1685,1.0053464,0,1.0007285,0.3351302062380991,1
1693,1.0011754,0,0.99978334,0.5477646364684743,1
1694,1.003035,0,0.99968415,0.5700780432858636,1
1698,1.0020856,0,1.0008571,0.3061925067717971,1
1700,0.9999952,0,0.9996486,0.5780835143615737,1
1702,0.999446,0,0.9992125,0.6761874111620672,1
1705,1.0018029,0,1.000112,0.4738112478880039,1
1709,1.0078875,0,1.0002922,0.43328774103574974,1
1711,1.0001196,0,1.000046,0.48866897310054447,1
1712,1.0007653,0,1.0004597,0.3956070480328264,1
1720,0.99764746,0,1.0002756,0.4370155818381741,1
1727,0.99982834,0,1.0002394,0.4451685574060664,1
1728,0.99680233,0,0.9997992,0.5441977096575215,1
1737,1.0053816,0,1.0003918,0.4108670582240459,1
1740,1.0009106,0,0.9996177,0.5850296349934294,1
1743,1.0041498,0,1.0002426,0.4444444444444444,1
1749,1.0013887,0,1.0006199,0.3595623139431974,1
1750,1.0031921,0,1.0005264,0.3805884088288143,1
1751,0.99968106,0,0.99896127,0.7327084506664521,1
1752,1.0009818,0,0.9995561,0.5988816477592727,1
1754,0.9999509,0,1.0001158,0.4729798589320675,1
1759,0.994797,0,0.9997165,0.5627966851717756,1
1775,1.0044413,0,0.9998225,0.5389545954354065,1
